epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2361.89,1.65719,1.1284,1.18893,0.68253,0.75658,0.76159,0.41052,1.49432,1.15098,1.18215,0.0011882,0.0011882,0.0011882
43,2417.8,1.6451,1.11668,1.18727,0.70566,0.77288,0.78665,0.42652,1.54761,1.08101,1.19336,0.0011684,0.0011684,0.0011684
44,2473.81,1.6789,1.13411,1.17926,0.74556,0.69737,0.7945,0.4261,1.53406,1.09559,1.18763,0.0011486,0.0011486,0.0011486
45,2529.82,1.63622,1.11741,1.17012,0.74234,0.76974,0.80007,0.43304,1.50785,1.11143,1.17512,0.0011288,0.0011288,0.0011288
46,2585.92,1.61156,1.09925,1.16361,0.73768,0.83255,0.80152,0.4387,1.47312,1.09008,1.15705,0.001109,0.001109,0.001109
47,2642.01,1.61438,1.09237,1.17001,0.72888,0.77823,0.81064,0.43144,1.50657,1.09859,1.1738,0.0010892,0.0010892,0.0010892
48,2698.13,1.60822,1.08785,1.16708,0.66752,0.84868,0.79425,0.42645,1.53352,1.19216,1.17577,0.0010694,0.0010694,0.0010694
49,2754.1,1.61351,1.08628,1.16319,0.70226,0.77632,0.81146,0.44878,1.52795,1.05146,1.18646,0.0010496,0.0010496,0.0010496
50,2810.16,1.62541,1.09718,1.17191,0.7039,0.80921,0.79491,0.42178,1.52712,1.08766,1.17132,0.0010298,0.0010298,0.0010298
51,2866.27,1.60932,1.07122,1.15829,0.75661,0.83852,0.86984,0.45727,1.47391,1.0142,1.16205,0.00101,0.00101,0.00101
52,2922.49,1.60665,1.07488,1.15316,0.72266,0.80263,0.80734,0.42286,1.52558,1.04192,1.17938,0.0009902,0.0009902,0.0009902
53,2978.6,1.59013,1.07364,1.15546,0.76709,0.77632,0.83012,0.43596,1.57424,1.042,1.21003,0.0009704,0.0009704,0.0009704
54,3034.62,1.57692,1.07171,1.16979,0.75557,0.79312,0.85535,0.4553,1.48679,1.03347,1.17077,0.0009506,0.0009506,0.0009506
55,3090.67,1.56792,1.04505,1.13384,0.74774,0.83855,0.83919,0.46663,1.48098,0.98733,1.16528,0.0009308,0.0009308,0.0009308
56,3146.68,1.57783,1.04433,1.15765,0.7543,0.78771,0.83299,0.43169,1.53641,1.01417,1.17807,0.000911,0.000911,0.000911
57,3202.71,1.55909,1.02366,1.14677,0.79513,0.76316,0.8492,0.44756,1.52414,1.01823,1.18089,0.0008912,0.0008912,0.0008912
58,3258.67,1.55102,1.00681,1.13798,0.7641,0.76715,0.79282,0.43017,1.49638,1.03348,1.15649,0.0008714,0.0008714,0.0008714
59,3314.72,1.55197,1.01046,1.14468,0.77683,0.80921,0.82627,0.43624,1.50285,0.97854,1.16901,0.0008516,0.0008516,0.0008516
60,3370.74,1.54373,0.97822,1.13917,0.77772,0.80565,0.84,0.46687,1.46983,0.97726,1.16281,0.0008318,0.0008318,0.0008318
61,3426.8,1.54141,1.00123,1.12972,0.73902,0.81579,0.80449,0.44006,1.45549,1.02051,1.14628,0.000812,0.000812,0.000812
62,3482.76,1.49072,0.9735,1.12328,0.73562,0.80544,0.83746,0.47541,1.47368,0.97715,1.14973,0.0007922,0.0007922,0.0007922
63,3538.85,1.54657,0.97776,1.14592,0.76299,0.85526,0.852,0.48324,1.46443,0.97541,1.1469,0.0007724,0.0007724,0.0007724
64,3594.96,1.5246,0.96641,1.1237,0.80352,0.67763,0.81428,0.43989,1.53526,1.01677,1.17356,0.0007526,0.0007526,0.0007526
65,3651.01,1.5109,0.98142,1.13431,0.75456,0.82924,0.86952,0.49662,1.44648,0.94631,1.14089,0.0007328,0.0007328,0.0007328
66,3707.1,1.51727,0.97323,1.12305,0.77543,0.83553,0.84148,0.47182,1.45613,0.98389,1.15326,0.000713,0.000713,0.000713
67,3763.2,1.51775,0.97002,1.12344,0.83674,0.76316,0.86918,0.48364,1.44542,0.96526,1.15161,0.0006932,0.0006932,0.0006932
68,3819.11,1.5057,0.97954,1.11021,0.74719,0.75658,0.81582,0.44986,1.46455,1.05256,1.1504,0.0006734,0.0006734,0.0006734
69,3874.76,1.50675,0.95606,1.1177,0.73226,0.84868,0.84249,0.46099,1.53781,0.98032,1.16807,0.0006536,0.0006536,0.0006536
70,3930.73,1.48013,0.95056,1.11606,0.75346,0.84446,0.84468,0.46879,1.47963,0.95575,1.14239,0.0006338,0.0006338,0.0006338
71,3986.59,1.49164,0.94269,1.11165,0.77553,0.81829,0.85431,0.48643,1.43468,0.93513,1.13105,0.000614,0.000614,0.000614
72,4042.56,1.49664,0.9395,1.10736,0.73736,0.78947,0.82528,0.46609,1.49072,0.99692,1.16093,0.0005942,0.0005942,0.0005942
73,4098.54,1.46663,0.90091,1.10305,0.76433,0.78945,0.84805,0.46576,1.51173,0.93883,1.16278,0.0005744,0.0005744,0.0005744
74,4154.56,1.51578,0.95744,1.13414,0.79987,0.77632,0.83837,0.47639,1.507,0.94474,1.15893,0.0005546,0.0005546,0.0005546
75,4773.64,1.47392,0.88823,1.09187,0.74308,0.85626,0.84451,0.49225,1.45108,0.95696,1.14341,0.0005348,0.0005348,0.0005348
76,4829.63,1.47486,0.90968,1.09837,0.7337,0.87006,0.83879,0.48663,1.44717,0.93617,1.14633,0.000515,0.000515,0.000515
77,4885.8,1.47995,0.91614,1.09885,0.82351,0.79816,0.86378,0.48002,1.45523,0.94217,1.13968,0.0004952,0.0004952,0.0004952
78,4941.86,1.46419,0.89893,1.09245,0.76748,0.8686,0.88561,0.498,1.44897,0.92316,1.14431,0.0004754,0.0004754,0.0004754
79,4998.06,1.4882,0.91586,1.09054,0.79494,0.80921,0.85892,0.48604,1.45519,0.94476,1.13715,0.0004556,0.0004556,0.0004556
80,5054.03,1.47235,0.9049,1.09535,0.76679,0.84363,0.86839,0.50526,1.42649,0.91798,1.14129,0.0004358,0.0004358,0.0004358
81,5110.08,1.43353,0.88416,1.09379,0.76922,0.86184,0.86838,0.50219,1.4531,0.90795,1.14175,0.000416,0.000416,0.000416
82,5166.28,1.46312,0.90612,1.10735,0.79746,0.82895,0.85947,0.49894,1.46043,0.91829,1.14718,0.0003962,0.0003962,0.0003962
83,5222.36,1.42872,0.87897,1.08951,0.78788,0.85526,0.87243,0.51122,1.43737,0.87717,1.12593,0.0003764,0.0003764,0.0003764
84,5278.41,1.45783,0.88193,1.09324,0.79859,0.84868,0.89551,0.51776,1.4402,0.90877,1.1356,0.0003566,0.0003566,0.0003566
85,5334.51,1.43167,0.86292,1.07573,0.79864,0.83553,0.8777,0.51394,1.42783,0.90556,1.15129,0.0003368,0.0003368,0.0003368
86,5390.62,1.45901,0.87855,1.08917,0.77187,0.82361,0.87026,0.49058,1.50206,0.92176,1.15449,0.000317,0.000317,0.000317
87,5446.77,1.45524,0.86968,1.07853,0.74919,0.875,0.88093,0.51227,1.43929,0.92017,1.13258,0.0002972,0.0002972,0.0002972
88,5502.67,1.41813,0.85073,1.08001,0.81509,0.85526,0.87084,0.51426,1.42598,0.88504,1.13881,0.0002774,0.0002774,0.0002774
89,5558.8,1.44284,0.86582,1.08126,0.78488,0.86842,0.86188,0.4968,1.47633,0.90505,1.1526,0.0002576,0.0002576,0.0002576
90,5614.78,1.37934,0.83138,1.07826,0.8007,0.86184,0.8751,0.50985,1.45034,0.8779,1.13903,0.0002378,0.0002378,0.0002378
91,5674.09,1.39414,0.88315,1.11565,0.79096,0.78947,0.85683,0.48309,1.50045,0.92856,1.16246,0.000218,0.000218,0.000218
92,5729.98,1.42466,0.8688,1.10731,0.8233,0.79697,0.87202,0.4899,1.46142,0.90969,1.14451,0.0001982,0.0001982,0.0001982
93,5785.7,1.38798,0.84488,1.11741,0.76885,0.88158,0.87545,0.49893,1.48438,0.8871,1.14901,0.0001784,0.0001784,0.0001784
94,5841.39,1.37505,0.8462,1.10991,0.79367,0.80921,0.86953,0.5002,1.46108,0.88239,1.14943,0.0001586,0.0001586,0.0001586
95,5897.07,1.37514,0.83346,1.10234,0.7999,0.875,0.88524,0.51276,1.4725,0.88007,1.14628,0.0001388,0.0001388,0.0001388
96,5952.76,1.38698,0.82972,1.10445,0.79378,0.88816,0.89323,0.51218,1.44615,0.8863,1.13921,0.000119,0.000119,0.000119
97,6008.58,1.35598,0.81963,1.102,0.78011,0.88158,0.87526,0.51671,1.45162,0.87523,1.14346,9.92e-05,9.92e-05,9.92e-05
98,6064.37,1.35583,0.81836,1.08927,0.77614,0.86842,0.87484,0.51287,1.44882,0.87562,1.13949,7.94e-05,7.94e-05,7.94e-05
99,6120.16,1.34457,0.80971,1.10694,0.78933,0.89474,0.88955,0.52433,1.43811,0.86412,1.13639,5.96e-05,5.96e-05,5.96e-05
100,6175.91,1.33071,0.81043,1.09155,0.786,0.8699,0.88675,0.52066,1.44539,0.87212,1.14224,3.98e-05,3.98e-05,3.98e-05
